id,student_count,academic_year,semester,requires_special_scheduling,is_assistant,teacher_id,staff_code,first_name,last_name,teacher_email,course_id,course_code,course_name,course_type,lecture_hours,practical_hours,tutorial_hours,credits,teacher_dept,course_dept,instance_number
89,64,2,3,0,0,171,CS296,,,,1863,CS23332,Database Management Systems,LoT,3,4,0,5.0,Computer Science & Design,Computer Science & Design,1
681,64,3,5,0,0,171,CS296,,,,2052,GE23627,Design Thinking and Innovation,L,0,4,0,2.0,Computer Science & Design,Computer Science & Design,1
65,67,4,7,0,0,178,CS307,,,,1809,CD19P15,Foundations of Machine Learning Concepts,LoT,2,2,0,3.0,Computer Science & Design,Computer Science & Design,1
80,64,3,5,0,0,178,CS307,,,,1852,CS23431,Operating Systems,LoT,3,4,0,5.0,Computer Science & Design,Computer Science & Design,1
77,70,1,1,0,0,179,CS11,,,,1849,GE23131,Programming using C,LoT,1,6,0,4.0,Computer Science & Design,Computer Science & Design,1
79,64,2,3,0,0,179,CS11,,,,1850,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Design,Computer Science & Design,1
67,67,4,7,0,0,182,CS331,,,,1817,CD19711,Project-I,L,0,6,0,3.0,Computer Science & Design,Computer Science & Design,1
92,64,2,3,0,0,182,CS331,,,,1458,CD23331,Design Processes and Perspectives,LoT,3,2,0,4.0,Computer Science & Design,Computer Science & Design,1
93,70,1,1,0,0,182,CS331,,,,166,CD23111,Design Drawing and Sketching,T,2,0,1,3.0,Computer Science & Design,Computer Science & Design,1
87,64,2,3,0,0,184,CS176,,,,1457,CD23321,Python Programming for Design,L,0,6,0,3.0,Computer Science & Design,Computer Science & Design,1
88,64,3,5,0,0,184,CS176,,,,1862,IT23E31,Graphics and Multimedia,LoT,2,2,0,3.0,Computer Science & Design,Computer Science & Design,1
66,67,4,7,0,0,185,CS306,,,,1803,CD19P11,Digital Media Entrepreneurship,LoT,2,2,0,3.0,Computer Science & Design,Computer Science & Design,1
91,64,3,5,0,0,185,CS306,,,,1866,CS23531,Web Programming,LoT,1,4,0,3.0,Computer Science & Design,Computer Science & Design,1
95,70,3,5,0,0,187,IT03,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
109,70,3,5,0,0,187,IT03,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,2
243,70,3,5,0,0,188,CS69,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
64,67,4,7,0,0,189,CS289,,,,1820,CD19721,Introduction to 3D Animation,T,1,0,0,1.0,Computer Science & Design,Computer Science & Design,1
76,64,3,5,0,0,189,CS289,,,,1846,CD23531,3D Modelling and Texturing,LoT,2,2,0,3.0,Computer Science & Design,Computer Science & Design,1
207,70,2,3,0,0,191,CS218,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
208,70,2,3,0,0,191,CS218,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,2
220,70,2,3,0,0,192,CS182,,,,1544,CS23332,Database Management Systems,LoT,3,4,0,5.0,Computer Science & Engineering,Computer Science & Engineering,1
270,70,3,5,0,0,192,CS182,,,,1555,CS23531,Web Programming,LoT,1,4,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
274,70,3,5,0,0,195,CS203,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
275,70,3,5,0,0,195,CS203,,,,1868,CS23533,Foundations of Artificial Intelligence,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,2
214,70,2,3,0,0,196,CS251,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
259,70,3,5,0,0,196,CS251,,,,1554,CS23512,Fundamentals of Mobile Computing,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
268,70,2,3,0,0,197,CS171,,,,1545,CS23333,Object Oriented Programming Using JAVA,LoT,1,6,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
269,70,3,5,0,0,197,CS171,,,,1554,CS23512,Fundamentals of Mobile Computing,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
276,70,3,5,0,0,198,IT194,,,,1556,CS23532,Computer Networks,LoT,3,2,0,5.0,Computer Science & Engineering,Computer Science & Engineering,1
272,70,2,3,0,0,199,CS221,,,,1545,CS23333,Object Oriented Programming Using JAVA,LoT,1,6,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
209,70,2,3,0,0,201,IT191,,,,1542,CS23311,Computer Architecture,T,3,0,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
218,70,2,3,0,0,201,IT191,,,,1544,CS23332,Database Management Systems,LoT,3,4,0,5.0,Computer Science & Engineering,Computer Science & Engineering,1
261,70,3,5,0,0,202,CS208,,,,1555,CS23531,Web Programming,LoT,1,4,0,3.0,Computer Science & Engineering,Computer Science & Engineering,1
273,70,2,3,0,0,203,CS178,,,,1545,CS23333,Object Oriented Programming Using JAVA,LoT,1,6,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
260,70,2,3,0,0,205,CS226,,,,1543,CS23331,Design and Analysis of Algorithms,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
360,70,1,1,0,0,207,CS239,,,,378,GE23131,Programming using C,LoT,1,6,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
251,70,3,5,0,0,211,CS253,,,,1556,CS23532,Computer Networks,LoT,3,2,0,5.0,Computer Science & Engineering,Computer Science & Engineering,1
252,70,2,3,0,0,211,CS253,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
246,70,2,3,0,0,212,CS284,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
247,70,2,3,0,0,212,CS284,,,,1546,CS23334,Fundamentals of Data Science,LoT,3,2,0,4.0,Computer Science & Engineering,Computer Science & Engineering,2
257,70,2,3,0,0,216,CS281,,,,1545,CS23333,Object Oriented Programming Using JAVA,LoT,1,6,0,4.0,Computer Science & Engineering,Computer Science & Engineering,1
244,70,3,5,0,0,217,CS256,,,,1556,CS23532,Computer Networks,LoT,3,2,0,5.0,Computer Science & Engineering,Computer Science & Engineering,1
581,65,3,5,0,0,217,CS256,,,,1556,CS23532,Computer Networks,LoT,3,2,0,5.0,Computer Science & Engineering,Computer Science & Engineering,2
