,course_code,department,total_labs,lab_1,lab_2,lab_3,lab_4,lab_5,course_name
0,AV23121,Aeronautical Engineering,1,Avionics Lab,,,,,AVIONICS INTEGRATION LABORATORY
1,AV23122,Aeronautical Engineering,1,Medical Image Processing Lab,,,,,IMAGE PROCESSING LABORATORY
2,CH19712,Chemical Engineering,1,Process Control Lab,,,,,Process Control Lab
3,MT23334,Mechatronics Engineering,1,Strength of Materials Lab,,,,,Mechanics of Solids
4,MT19712,Mechatronics Engineering,1,Strength of Materials Lab,,,,,Industrial Automation Laboratory
5,MT23333,Mechatronics Engineering,1,Manufacturing Technology I,,,,,Manufacturing Technology
6,AE23333,Aeronautical Engineering,2,Thermal Lab 2,Thermal Lab 1,,,,Aero Engineering Thermodynamics
7,AE23432,Aeronautical Engineering,1,Aircraft Structures Lab,,,,,Aircraft Materials and Processes
8,AE23531,Aeronautical Engineering,1,Aircraft Structures Lab,,,,,Aircraft Structures - II
9,AE23433,Aeronautical Engineering,1,Airframe Repair and Aero Engine Lab,,,,,Aircraft Systems and Instruments
10,AE23521,Aeronautical Engineering,1,Aero CAD Lab,,,,,Computational Simulation Laboratory
11,AE23621,Aeronautical Engineering,1,Aero CAD Lab,,,,,
12,AE19741,Aeronautical Engineering,1,Avionics Lab,,,,,Avionics
13,AE19712,Aeronautical Engineering,1,Aero CAD Lab,,,,,Structural And Flow Simulation Laboratory
14,AE23731,Aeronautical Engineering,1,Avionics Lab,,,,,
15,EE23133,Aeronautical Engineering,1,Electrical Machines I Lab,,,,,Basic Electrical and Electronics Engineering
16,AE23623,Aeronautical Engineering,1,Aero CAD Lab,,,,,
17,AE23321,Aeronautical Engineering,1,TANCAM,,,,,Computer Aided Modelling Laboratory
18,CY23223,Aeronautical Engineering,1,Chemistry Lab,,,,,Engineering Chemistry
19,GE23121,Aeronautical Engineering,3,Machine Shop FF1 - EPL - 1,Machine Shop FF2 - EPL - 2,Machine Shop FF3 - EPL - 3,,,Engineering Practices - Civil & Mechanical
20,GE23122,Aeronautical Engineering,2,Engineering Practices Lab (Electrical),Engineering Practices Lab (Electronics),,,,Engineering Practices - Electrical
21,AE23631,Aeronautical Engineering,1,Aero CAD Lab,,,,,Flight Vehicle Design
22,AE23332,Aeronautical Engineering,1,Fluid Mechanics Lab,,,,,Fluid Mechanics and Fluid Machinery
23,AE23431,Aeronautical Engineering,1,Aerodynamics Lab,,,,,Incompressible Aerodynamics
24,AE23622,Aeronautical Engineering,1,Aerodynamics Lab,,,,,Jet propulsion Laboratory
25,PH23131,Aeronautical Engineering,2,Physics LAB - 1,Physics LAB - 2,,,,Physics of Materials
26,AE23331,Aeronautical Engineering,1,Strength of Materials Lab,,,,,Solid Mechanics
27,IT23231,Artificial Intelligence and Data Science,2,Digital Lab-1,Digital Lab-2,,,,
28,PH23132,Artificial Intelligence and Data Science,2,Physics LAB - 1,Physics LAB - 2,,,,Physics for Information Science
