id,,academic_year,semester,course_id,course_code,course_name,course_type,lecture_hours,practical_hours,tutorial_hours,credits,course_dept,Professional Elective,PG
327,,4,7,672,AE19A11,Experimental Aerodynamics,T,3,0,0,3,Aeronautical Engineering,PE 1,
362,,4,7,673,AE19P72,Fatigue and Fracture,T,3,0,0,3,Aeronautical Engineering,PE 2,
325,,4,7,674,AE19P74,Combustion and Flames,T,3,0,0,3,Aeronautical Engineering,PE 3,
377,,3,5,595,AE23D11,Fundamentals of UAV Systems and Design,T,3,0,0,3,Aeronautical Engineering,PE 1,
1551,,2,3,888,AV23C15,ARTIFICIAL INTELLIGENCE,T,3,0,0,3,Aeronautical Engineering,PE 1,PG
965,,4,1,586,AD19P72,Predictive Analytics,LoT,2,2,0,3,Artificial Intelligence & Data Science,PE 3,
992,,4,1,582,AD19P74,ETHICS OF ARTIFICIAL INTELLIGENCE,T,3,0,0,3,Artificial Intelligence & Data Science,PE 4,
,,,,,,,,,,,,,,
1183,,3,5,881,IT23A11,INTERNET OF THINGS,T,3,0,0,3,Artificial Intelligence & Data Science,PE 1,
1114,,1,1,882,IT23C12,SOFTWARE PROJECT MANAGEMENT,T,3,0,0,3,Artificial Intelligence & Data Science,PE 1,
493,,4,7,748,AI19P71,Data Visualization using Python (Professional Elective III),LoT,2,2,0,3,Artificial Intelligence & Machine Learning,PE 3,
504,,4,7,748,AI19P71,Data Visualization using Python (Professional Elective III),LoT,2,2,0,3,Artificial Intelligence & Machine Learning,PE 3,
505,,4,7,712,AI19P75,Information Retrieval (Professional Elective V),LoT,2,2,0,3,Artificial Intelligence & Machine Learning,PE 5,
579,,4,7,712,AI19P75,Information Retrieval (Professional Elective V),LoT,2,2,0,3,Artificial Intelligence & Machine Learning,PE 5,
580,,4,7,714,AI19P76,Supply Chain Analytics (Professional Elective V),T,3,0,0,3,Artificial Intelligence & Machine Learning,PE 5,
506,,3,5,752,AI23A37,Computer Vision and Applications,LoT,2,2,0,3,Artificial Intelligence & Machine Learning,PE 1,
,,,,,,,,,,,,,,
825,,4,7,650,AT19P73,Automotive Safety,T,3,0,0,3,Automobile Engineering,PE 2,
234,,3,5,661,AT23G12,Two and Three Wheelers,T,3,0,0,3,Automobile Engineering,PE 1,
,,,,,,,,,,,,,,
916,,4,7,621,BM19P72,Rehabilitation Engineering,T,3,0,0,3,Biomedical Engineering,PE 2,
1184,,3,5,610,BM23C11,Pattern Recognition and Neural Networks,T,3,0,0,3,Biomedical Engineering,PE 1,
1179,,4,7,547,BT19P71,Comprehensive Course for Biotechnologists,T,3,0,0,3,Biotechnology,PE 3,
,,,,,,,,,,,,,,
201,,4,7,549,BT19P74,Cancer Biology,T,3,0,0,3,Biotechnology,PE 4,
,,,,,,,,,,,,,,
185,,4,7,553,BT19P76,Animal Biotechnology,T,3,0,0,3,Biotechnology,PE 5,
,,,,,,,,,,,,,,
1839,,1,1,755,BY23P11,Biomaterial,T,3,0,0,3,Biotechnology,PE 1,PG
858,,4,7,840,CH19P71,Environmental Technology,T,3,0,0,3,Chemical Engineering,PE 3,
770,,3,5,550,CH23A11,Petroleum chemistry and Refining Fundamemtals,T,3,0,0,3,Chemical Engineering,PE 1,
288,,4,7,580,CE19P71,PRESTRESSED CONCRETE STRUCTURES,T,3,0,0,3,Civil Engineering,PE 3,
336,,4,7,581,CE19P75,GLOBAL CLIMATIC CHANGE,T,3,0,0,3,Civil Engineering,PE 4,
297,,3,5,571,CE23C11,ADVANCED CONSTRUCTION TECHNIQUES,T,3,0,0,3,Civil Engineering,PE 1,
301,,3,5,574,CE23F14,URBAN PLANNING AND DEVELOPMENT,T,3,0,0,3,Civil Engineering,PE 1,
1008,,4,7,875,CB19P45,Modern Web Applications,LoT,3,2,0,4,Computer Science & Business Systems,PE 3,
1069,,4,7,875,CB19P45,Modern Web Applications,LoT,3,2,0,4,Computer Science & Business Systems,PE 4,
,,,,,,,,,,,,,,
1030,,3,5,890,CB23D31,Data Mining and Analytics,LoT,3,2,0,4,Computer Science & Business Systems,PE 1,
66,,4,7,559,CD19P11,Digital Media Entrepreneurship,LoT,2,2,0,3,Computer Science & Design,PE 3,
65,,4,7,557,CD19P15,Foundations of Machine Learning Concepts,LoT,2,2,0,3,Computer Science & Design,PE 4,
1906,,4,7,828,CS19P14,INFORMATION SECURITY AND MANAGEMENT,LoT,2,2,0,3,Computer Science & Engineering,PE 1,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
877,,4,7,829,CS19P18,Deep Learning Concepts,L,0,6,0,3,Computer Science & Engineering,PE 2,
1913,,4,7,830,CS19P21,Advanced Robotic Process Automation,L,0,6,0,3,Computer Science & Engineering,PE 1,
875,,4,7,831,CS19P23,Advanced Application Development with Oracle APEX,L,0,6,0,3,Computer Science & Engineering,PE 3,
758,,4,7,539,EE19P72,Fundamentals of Embedded Systems,T,3,0,0,3,Electrical & Electronics Engineering,PE 2,
,,,,,,,,,,,,,,
