GENERAL CODE,PE1,PE2,PE3,DEPT,SEM
AE19PE01,AE19D16,AE19C16,,AERO,8
AE19PE02,AE19A19,AE19B16,,AERO,8
AE23PE01,AE23A13,AE23B13,AE23C13,AERO,6
AD19PE01,AI19P75,,,AIDS,8
AD19PE02,AD19P78,,,AIDS,8
AD23PE01,AD23B32,,,AIDS,6
AI19PE01,AI19P82,,,AIML,8
AI19OE01,OBT1905,,,AIML,8
AT19PE01,AT19P81,,,AUTO,8
AT19PE02,AT19P87,,,AUTO,8
AT23PE01,AT23G11,,,AUTO,6
BM19PE01,BM19P80,BM19P85,,BME,8
BM23PE01,BM23C12,BM23C16,,BME,6
BT23PE01,BT23B16,BT23B12,BT23B11,BT,6
BT23PE02,BT23C12,BT23F13,,BT,6
BT23PE03,BT23D16,BT23D11,,BT,6
CE19PE01,CE19P85,CE19P82,,CIVIL,8
CE19PE02,CE19P88,,,CIVIL,8
EE19PE01,EE19P84,,,EEE,8
EE19OE01,EE19P87,,,EEE,8
EE23PE01,EE23E13,EE23C13,,EEE,6
FT23PE01,FT23F02,FT23A01,,FT,6
FT23PE02,FT23F03,FT23A02,,FT,6
IT19PE01,IT19P85,,,IT,8
IT19PE02,IT19P90,,,IT,8
IT23PE01,IT23C11,,,IT,6
ME19PE01,ME19G16,,,MCT,8
ME23PE01,ME23E13,ME23F13,ME23D13,MECH,6
CB19PE01,CB19P46,,,CSBS,8
CB19PE02,CB19P49,,,CSBS,8
CS23PE01,IT23A11,CS23A32,CS23A34,CSE,4

