sno,id,course_code
1,539,EE19P72
2,547,BT19P71
3,549,BT19P74
4,553,BT19P76
5,557,CD19P15
6,559,CD19P11
7,561,EC19P74
8,562,EC19P76
9,580,CE19P71
10,581,CE19P75
11,582,AD19P74
12,586,AD19P72
13,621,BM19P72
14,633,EE19P73
15,650,AT19P73
16,658,IT19P78
17,673,AE19P72
18,674,AE19P74
19,712,AI19P75
20,714,AI19P76
21,748,AI19P71
22,828,CS19P14
23,829,CS19P18
24,830,CS19P21
25,831,CS19P23
26,840,CH19P71
27,875,CB19P45
28,919,CR19P62
29,672,AE19A11
30,535,ME19B18
31,537,ME19D17
32,734,RO19D12
33,536,ME19E19
34,550,CH23A11
35,615,EC23A11
36,752,AI23A37
37,753,AI23A35
38,860,MX23A11
39,880,AV23A11
40,881,IT23A11
41,600,AE23B17
42,609,BM23B14
43,613,EC23B11
44,759,EE23B21
45,571,CE23C11
46,572,CE23C11
47,610,BM23C11
48,735,RO23C13
49,845,MX23C11
50,882,IT23C12
51,888,AV23C15
52,595,AE23D11
53,596,AE23D11
54,642,ET23D11
55,854,MX23D12
56,855,MX23D14
57,856,MX23D31
58,890,CB23D31
59,592,IT23E31
60,616,EC23E11
61,531,ME23F12
62,574,CE23F14
63,529,ME23G11
64,530,ME23G12
65,661,AT23G12
66,755,BY23P11
67,758,BY23P14
68,780,BA23P61
69,781,BA23P62
70,782,BA23P63
71,783,BA23P65
72,784,BA23P01
73,785,BA23P02
74,786,BA23P03
75,787,BA23P04
76,788,BA23P05
77,789,BA23P11
78,790,BA23P12
79,791,BA23P13
80,792,BA23P14
81,793,BA23P15
82,794,BA23P16
83,795,BA23P17
84,796,BA23P21
85,797,BA23P22
86,798,BA23P23
87,799,BA23P24
88,800,BA23P25
89,801,BA23P26
90,802,BA23P27
91,803,BA23P31
92,804,BA23P32
93,805,BA23P33
94,806,BA23P34
95,807,BA23P35
96,808,BA23P41
97,809,BA23P42
98,810,BA23P43
99,811,BA23P44
100,812,BA23P45
101,824,ED23P12
102,902,ED23P31
103,903,ED23P39
104,910,BA23P52
105,911,BA23P53
106,912,BA23P54
107,913,BA23P55
108,914,BA23P06
109,915,BA23P51
