room_number,block,description,is_lab,room_type,room_min_cap,room_max_cap,has_projector,has_ac,tech_level,maintained_by
A102,A Block,Classroom,false,Room,50.0,60.0,false,false,Medium,Administration
A103,A Block,Classroom,false,Room,50.0,60.0,false,false,Low,Administration
A104/105,A Block,Classroom,false,Room,110.0,120.0,false,false,High,Administration
A108,A Block,Classroom,false,Room,50.0,60.0,false,false,Medium,Administration
A109,A Block,Classroom,false,Room,50.0,60.0,false,false,High,Administration
A110,A Block,Classroom,false,Room,50.0,60.0,false,false,Medium,Administration
A202,A Block,Classroom,false,Room,50.0,60.0,false,false,High,Administration
A203,A Block,Classroom,false,Room,50.0,60.0,false,false,None,Administration
A204,A Block,Classroom,false,Room,50.0,60.0,false,false,None,Administration
A205,A Block,Classroom,false,Room,50.0,60.0,false,false,Medium,Administration
A208,A Block,Classroom,false,Room,50.0,60.0,false,false,Medium,Administration
A209,A Block,Classroom,false,Room,50.0,60.0,false,false,High,Administration
A210,A Block,Classroom,false,Room,50.0,60.0,false,false,Low,Administration
A211,A Block,Classroom,false,Room,50.0,60.0,false,false,Medium,Administration
A302,A Block,Classroom,false,Room,50.0,60.0,false,false,High,Administration
A303,A Block,Classroom,false,Room,50.0,60.0,false,false,Medium,Administration
A304,A Block,Classroom,false,Room,50.0,60.0,false,false,None,Administration
A305,A Block,Classroom,false,Room,50.0,60.0,false,false,Low,Administration
A308,A Block,Classroom,false,Room,50.0,60.0,false,false,Low,Administration
A309,A Block,Classroom,false,Room,50.0,60.0,false,false,None,Administration
A310,A Block,Classroom,false,Room,50.0,60.0,false,false,High,Administration
A311,A Block,Classroom,false,Room,50.0,60.0,false,false,High,Administration
B First Floor,Lab Block,Biochemistry Lab,true,NTL,20.0,30.0,true,false,Low,Biotechnology
B First Floor,Lab Block,Microbiology Lab,true,NTL,20.0,30.0,true,false,High,Biotechnology
B First Floor,Lab Block,Genetic Engineering Lab,true,NTL,20.0,30.0,true,false,None,Biotechnology
B First Floor,Lab Block,Immunology Lab,true,NTL,20.0,30.0,true,false,Medium,Biotechnology
B Second Floor,Lab Block,Bioprocess Lab,true,NTL,20.0,30.0,true,false,None,Biotechnology
B Second Floor,Lab Block,Downstream Processing Lab,true,NTL,20.0,30.0,true,false,None,Biotechnology
B305,Lab Block,Industrial Automation Lab,true,NTL,20.0,30.0,true,false,High,Mechanical Engineering
B310,Lab Block,MCT CAD Lab,true,NTL,20.0,30.0,true,false,High,Mechanical Engineering
B Third Floor,Lab Block,Computer Application in Chemical Engg Lab,true,NTL,20.0,30.0,true,false,Medium,Chemical Engineering
