Subject,Credits,Teacher
Subject_079,4,Teacher_1
Subject_055,3,Teacher_1
Subject_068,5,Teacher_1
Subject_020,3,Teacher_1
Subject_084,4,Teacher_1
Subject_026,5,Teacher_1
Subject_106,5,Teacher_2
Subject_016,5,Teacher_2
Subject_010,4,Teacher_2
Subject_034,3,Teacher_2
Subject_078,3,Teacher_2
Subject_029,3,Teacher_2
Subject_139,3,Teacher_3
Subject_023,4,Teacher_3
Subject_140,3,Teacher_3
Subject_042,3,Teacher_3
Subject_008,5,Teacher_3
Subject_135,4,Teacher_3
Subject_005,5,Teacher_4
Subject_086,5,Teacher_4
Subject_030,4,Teacher_4
Subject_107,5,Teacher_4
Subject_067,5,Teacher_4
Subject_105,4,Teacher_4
Subject_021,4,Teacher_5
Subject_012,4,Teacher_5
Subject_095,5,Teacher_5
Subject_036,4,Teacher_5
Subject_090,5,Teacher_5
Subject_138,5,Teacher_5
Subject_004,4,Teacher_6
Subject_061,5,Teacher_6
Subject_137,5,Teacher_6
Subject_118,4,Teacher_6
Subject_115,5,Teacher_6
Subject_002,5,Teacher_6
Subject_109,4,Teacher_7
Subject_122,4,Teacher_7
Subject_071,4,Teacher_7
Subject_149,3,Teacher_7
Subject_018,4,Teacher_7
Subject_150,5,Teacher_7
Subject_013,5,Teacher_8
Subject_132,4,Teacher_8
Subject_007,4,Teacher_8
Subject_064,3,Teacher_8
Subject_123,5,Teacher_8
Subject_120,3,Teacher_8
Subject_057,4,Teacher_9
Subject_001,4,Teacher_9
Subject_063,5,Teacher_9
Subject_091,5,Teacher_9
Subject_145,4,Teacher_9
Subject_131,5,Teacher_9
Subject_108,3,Teacher_10
Subject_141,3,Teacher_10
Subject_075,3,Teacher_10
Subject_103,5,Teacher_10
Subject_146,3,Teacher_10
Subject_148,4,Teacher_10
Subject_009,4,Teacher_11
Subject_024,3,Teacher_11
Subject_038,5,Teacher_11
Subject_056,4,Teacher_11
Subject_028,4,Teacher_11
Subject_066,4,Teacher_11
Subject_110,3,Teacher_12
Subject_085,4,Teacher_12
Subject_125,5,Teacher_12
Subject_136,3,Teacher_12
Subject_082,5,Teacher_12
Subject_074,3,Teacher_12
Subject_033,5,Teacher_13
Subject_037,4,Teacher_13
Subject_142,3,Teacher_13
Subject_041,4,Teacher_13
Subject_076,4,Teacher_13
Subject_035,5,Teacher_13
Subject_126,4,Teacher_14
Subject_116,5,Teacher_14
Subject_124,4,Teacher_14
Subject_089,5,Teacher_14
Subject_022,4,Teacher_14
Subject_117,4,Teacher_14
Subject_119,5,Teacher_15
Subject_069,4,Teacher_15
Subject_045,5,Teacher_15
Subject_083,5,Teacher_15
Subject_039,4,Teacher_15
Subject_092,3,Teacher_15
Subject_097,5,Teacher_16
Subject_104,5,Teacher_16
Subject_032,5,Teacher_16
Subject_047,5,Teacher_16
Subject_059,5,Teacher_16
Subject_128,3,Teacher_16
Subject_053,5,Teacher_17
Subject_050,5,Teacher_17
Subject_058,5,Teacher_17
Subject_046,3,Teacher_17
Subject_054,3,Teacher_17
Subject_019,3,Teacher_17
Subject_113,5,Teacher_18
Subject_049,4,Teacher_18
Subject_073,3,Teacher_18
Subject_072,5,Teacher_18
Subject_133,4,Teacher_18
Subject_112,4,Teacher_18
Subject_130,5,Teacher_19
Subject_096,4,Teacher_19
Subject_051,3,Teacher_19
Subject_087,3,Teacher_19
Subject_134,4,Teacher_19
Subject_121,3,Teacher_19
Subject_147,5,Teacher_20
Subject_052,3,Teacher_20
Subject_093,3,Teacher_20
Subject_111,5,Teacher_20
Subject_094,3,Teacher_20
Subject_043,3,Teacher_20
Subject_065,4,Teacher_21
Subject_027,5,Teacher_21
Subject_048,4,Teacher_21
Subject_129,5,Teacher_21
Subject_040,5,Teacher_21
Subject_081,5,Teacher_21
Subject_006,3,Teacher_22
Subject_080,4,Teacher_22
Subject_014,4,Teacher_22
Subject_101,3,Teacher_22
Subject_143,4,Teacher_22
Subject_070,3,Teacher_22
Subject_114,5,Teacher_23
Subject_003,3,Teacher_23
Subject_060,4,Teacher_23
Subject_100,3,Teacher_23
Subject_015,5,Teacher_23
Subject_127,4,Teacher_23
Subject_077,3,Teacher_24
Subject_011,4,Teacher_24
Subject_098,5,Teacher_24
Subject_025,5,Teacher_24
Subject_017,5,Teacher_24
Subject_062,3,Teacher_24
Subject_144,5,Teacher_25
Subject_044,5,Teacher_25
Subject_088,5,Teacher_25
Subject_102,3,Teacher_25
Subject_099,3,Teacher_25
Subject_031,3,Teacher_25
