course_code,course_name,department_name,year,semester,regulation,category,lecture_hours,tutorial_hours,practical_hours,credits
EC23531,Digital Signal Processing,Electronics and Communication Engineering,3.0,5.0,2023.0,LOT,2.0,1.0,2.0,4.0
CD23531,3D Modelling and Texturing,Computer Science and Design,3.0,5.0,2023.0,LOT,2.0,0.0,6.0,5.0
CS23431,Operating Systems,Artificial Intelligence and Data Science,2.0,4.0,2023.0,LOT,3.0,0.0,4.0,5.0
CS23431,Operating Systems,Artificial Intelligence and Machine Learning,2.0,4.0,2023.0,LOT,3.0,0.0,4.0,5.0
CS23431,Operating Systems,Computer Science and Design,3.0,5.0,2023.0,LOT,3.0,0.0,4.0,5.0
CS23431,Operating Systems,Computer Science and Engineering,2.0,4.0,2023.0,LOT,3.0,0.0,4.0,5.0
CS23431,Operating Systems,Computer Science and Engineering (Cyber Security),2.0,4.0,2023.0,LOT,3.0,0.0,4.0,5.0
CS23431,Operating Systems,Information Technology,2.0,4.0,2023.0,LOT,3.0,0.0,4.0,5.0
IT23E31,Graphics and Multimedia,,,,,,,,,
CS23531,Web Programming,Computer Science and Design,3.0,5.0,2023.0,LOT,1.0,0.0,4.0,3.0
CS23531,Web Programming,Computer Science and Engineering,3.0,5.0,2023.0,LOT,1.0,0.0,6.0,4.0
CS23531,Web Programming,Computer Science and Engineering (Cyber Security),3.0,5.0,2023.0,LOT,1.0,0.0,6.0,4.0
CS23531,Web Programming,Information Technology,3.0,5.0,2023.0,LOT,1.0,0.0,6.0,4.0
CS23533,Foundations of Artificial Intelligence,,,,,,,,,
EC23512,Modern Digital Communication,Electronics and Communication Engineering,3.0,5.0,2023.0,Theory,3.0,0.0,0.0,3.0
EC23511,Control System Engineering,Electronics and Communication Engineering,3.0,5.0,2023.0,Theory,2.0,1.0,0.0,3.0
EC23B11,Information theory and coding,,,,,,,,,
EC23A11,Medical electronics,,,,,,,,,
EC23E11,Introduction to MEMS,,,,,,,,,
BT23511,Bioprocess Principles,Biotechnology,3.0,5.0,2023.0,Theory,3.0,0.0,0.0,3.0
BT23521,Bioprocess Laboratory- I,Biotechnology,3.0,5.0,2023.0,Laboratory,0.0,0.0,4.0,2.0
BT23513,Separation Process Principles,Biotechnology,3.0,5.0,2023.0,Theory,3.0,1.0,0.0,3.0
GE23311,Fundamentals of Management for Engineers,Automobile Engineering,3.0,5.0,2023.0,Theory,3.0,0.0,0.0,3.0
GE23311,Fundamentals of Management for Engineers,Information Technology,2.0,4.0,2023.0,Theory,3.0,0.0,0.0,3.0
GE23311,Fundamentals of Management for Engineers,Mechatronics Engineering,3.0,6.0,2023.0,Theory,3.0,0.0,0.0,3.0
AT23G12,Two and Three Wheelers,,,,,,,,,
AT23532,Electric and Hybrid Vehicles - II,Automobile Engineering,3.0,5.0,2023.0,LOT,3.0,0.0,2.0,4.0
AT23521,Two and Three wheelers Laboratory,Automobile Engineering,3.0,5.0,2023.0,Laboratory,0.0,0.0,2.0,1.0
